error_code,error_message,timestamp,source,severity,user_id,device_type,location,resolution_time,resolved_by
355,"Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",7/29/2024,client,low,30,mobile,809 Blackbird Center,1324,Merralee Clericoates
610,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",3/13/2024,database,low,31,mobile,6195 Fordem Avenue,215,Bryana Cox
283,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",5/1/2024,database,medium,32,tablet,3811 Hollow Ridge Circle,1387,Lorinda Styche
629,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.",7/13/2024,server,high,33,desktop,99 Corry Junction,379,Janot Stetlye
258,"Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",12/4/2023,client,low,34,tablet,1523 Gale Circle,104,Darlleen Handrick
246,Pellentesque viverra pede ac diam.,5/23/2024,client,medium,35,mobile,8 Lillian Pass,1093,Elliott Sherbrooke
478,Vivamus vel nulla eget eros elementum pellentesque.,7/15/2024,server,medium,36,mobile,18796 Spenser Circle,1290,Noreen Brosoli
880,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.",11/4/2024,server,medium,37,mobile,39 Birchwood Way,833,Sheffie Borrow
254,Nunc purus.,6/10/2024,client,low,38,desktop,473 Lakewood Gardens Street,59,Christal Rollings
148,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",4/10/2024,database,low,39,mobile,08 Charing Cross Center,1000,Artie Leverage
972,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,11/20/2023,database,low,40,mobile,52222 Moulton Center,1196,Barnard Seakings
305,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.",2/26/2024,client,high,41,tablet,053 Hallows Plaza,156,Doralynn Bramhall
608,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",3/25/2024,database,high,42,mobile,7932 Norway Maple Plaza,708,Maison Merrikin
837,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",12/26/2023,server,high,43,mobile,4 Jay Street,290,Daryl Brash
303,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",10/9/2024,client,low,44,desktop,95078 Surrey Pass,151,Angelo Leglise
177,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",7/24/2024,client,high,45,desktop,9707 Vernon Point,859,Maye Beckensall
834,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",6/2/2024,client,low,46,tablet,8 Grayhawk Parkway,33,Melvyn Clougher
597,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.",5/7/2024,server,medium,47,desktop,7 Montana Pass,1208,Bird Tolworthy
255,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,3/1/2024,client,low,48,tablet,36610 Oriole Parkway,1169,Tally Viscovi
510,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",6/20/2024,database,low,49,mobile,3301 Novick Point,965,Joya Semkins
749,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",2/23/2024,server,high,50,tablet,4 Ludington Point,694,Murial Brimham
418,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",10/8/2023,client,low,51,mobile,45 Hoard Plaza,803,Nixie Boyce
981,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",7/22/2024,client,medium,52,mobile,33 Towne Plaza,648,Shanta Kyrkeman
136,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",12/8/2023,client,low,53,desktop,9 Pawling Circle,969,Skyler McGreal
395,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,10/13/2023,server,low,54,desktop,3 Swallow Lane,607,Rubina Wanklin
449,Phasellus id sapien in sapien iaculis congue.,10/8/2024,server,high,55,tablet,90867 Dakota Hill,1173,Beth Lanigan
986,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",11/21/2023,server,low,56,tablet,76 Havey Center,1428,Cad Checklin
581,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2/19/2024,client,medium,57,desktop,5596 Jay Center,894,Bond Roubottom
731,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,10/19/2024,database,high,58,tablet,1488 Bluestem Trail,1,Pearla Robey
483,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,5/24/2024,client,low,59,desktop,4 Hanson Court,342,Wilhelm Dohr
137,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",4/24/2024,server,low,60,tablet,18243 Northwestern Street,963,Jose Rowlstone
815,Integer non velit.,6/7/2024,database,high,61,desktop,5630 Kingsford Way,1102,Robinetta Lidgley
475,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,12/18/2023,client,medium,62,tablet,379 Eggendart Terrace,568,Carmen Eubank
110,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,4/3/2024,database,medium,63,tablet,90 Bluejay Hill,1400,Costa Arnall
946,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,7/27/2024,server,low,64,desktop,06 Thackeray Hill,608,Aigneis Pridie
433,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",2/1/2024,database,high,65,desktop,54 Browning Park,283,Merv Annand
454,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,11/1/2023,server,high,66,tablet,29 Hanover Hill,714,Nathanael Groger
799,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",9/29/2024,server,medium,67,tablet,121 Hoepker Center,6,Gayleen Bettley
310,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",10/21/2023,client,low,68,mobile,9725 Tennessee Drive,724,Darby Donat
405,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",12/6/2023,server,high,69,desktop,389 Sachs Alley,365,Clea Brinicombe
996,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",11/4/2024,client,low,70,desktop,23 Lotheville Trail,769,Remy Bambrugh
898,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.",6/11/2024,server,low,71,mobile,24162 Springview Pass,77,Skipton De Brett
736,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,11/5/2024,database,low,72,mobile,244 Northwestern Street,372,Tod Harmes
191,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1/8/2024,database,medium,73,tablet,578 Gale Avenue,474,Bone Point
261,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",10/10/2023,server,high,74,desktop,8 Granby Parkway,449,Barbee Warke
569,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,3/7/2024,database,medium,75,tablet,81283 Novick Point,1307,Barty Pedrazzi
297,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,4/5/2024,server,low,76,mobile,8981 Clarendon Street,49,Josy Daybell
487,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",11/1/2023,server,high,77,mobile,12 La Follette Plaza,819,Karolina Densham
188,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",4/24/2024,database,high,78,tablet,2717 Jay Trail,438,Bridie Grand
524,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",9/22/2024,server,medium,79,mobile,65329 Kensington Parkway,733,Letta Hawlgarth
831,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,4/11/2024,database,low,80,desktop,231 Jenna Street,632,Carlye Been
349,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.",7/6/2024,server,high,81,tablet,82430 Aberg Circle,981,Kala MacManus
216,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",3/6/2024,database,medium,82,tablet,72 Muir Circle,1276,Daveen Braz
758,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,4/24/2024,server,medium,83,tablet,34 Lerdahl Terrace,1086,Skip Hubball
917,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",7/13/2024,server,low,84,tablet,64724 Manley Crossing,1307,Terrance Eagling
629,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",7/13/2024,database,low,85,mobile,9 Elmside Alley,327,Shannon Sinclair
634,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",6/8/2024,database,high,86,tablet,140 Porter Road,742,Powell Dutch
239,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",7/23/2024,server,medium,87,mobile,8 Utah Hill,1436,Siouxie McCaghan
961,Nulla mollis molestie lorem.,2/29/2024,client,high,88,tablet,63 Farragut Parkway,1396,Kass Blackburne
496,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,10/12/2023,database,low,89,mobile,241 Bunting Circle,743,Hi McLugaish
318,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.",2/21/2024,database,low,90,desktop,4018 South Center,1239,Merill Kinane
127,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",6/22/2024,server,medium,91,mobile,3 Macpherson Terrace,110,Addia Becconsall
760,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.,4/11/2024,database,medium,92,desktop,6456 Namekagon Avenue,480,Dwain Dunham
265,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",10/20/2024,database,medium,93,mobile,55559 Forest Center,1364,Knox Cuss
346,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,9/29/2024,database,low,94,desktop,1258 Crescent Oaks Pass,619,Katee McDirmid
155,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",5/2/2024,server,high,95,tablet,1 Karstens Hill,15,Nickolaus Dowrey
239,"Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",8/24/2024,client,high,96,desktop,77475 Almo Alley,193,Charlotta Nind
451,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1/20/2024,server,high,97,desktop,05728 Green Lane,61,Coleman Kerford
575,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,10/15/2023,database,low,98,desktop,100 Kedzie Avenue,698,Birdie Jovovic
